AC_NO,AC_TYPE,NR_REQUEST_DATE,CLOSE_DATE,MALFUNCTION,CORRECTIVE_ACTION
HL7587,330,2024-05-20 0:00:00,2024-06-02 17:58:30,(N/R-00480) APU EXHAUST MUFFLER WITH ROUNDED NUT ON THE LH SIDE OF THE MUFFLER MOUNT,"&quot;PERFORMED REMOVAL OF ROUNDED NUT ON APU EXHAUST MUFFLER, LH MOUNTING AS PER A330 SRM 5-42-11 PARA. 5 REV. 122 DTD. 01 APR 24        INSTALLED NEW BOLT AND NUT ON APU EXHAUST MUFFLER, LH MOUNTING IAW KAL A330 AMM SUBTASK 49-81-45-420-050-A REV. NO.103 DTD 01 APR 2024.         PME USED: TORQUE WRENCH     SN: PMEID14068     DUE DATE: 13 SEP 2024     VALUE: 300 IN.LB.&quot;"
HL7701,330,2024-05-15 0:00:00,2024-05-15 0:59:38,APU FAULT L/T ON AFTER ENG SHUTDOWN,"FOUND MAINT MGS 494138, RESTARTING APU AND OP' NORMAL PER TSM TASK 49-00-00-810-881-A"
HL7524,330,2024-05-12 0:00:00,2024-05-13 1:00:08,APU SCAVENGE OIL FILTER DPI BUTTON POP OUT,"NO MAINT MSG, ACCORDING TO AMM TASK 49-91-41-210-801-A,REPLACED SCAVENGE OIL FILTER AND THEN APU OP' LEAK CHK NML PER AMM TASK 49-91-41-960-801-A"
HL8026,330,2024-05-10 0:00:00,2024-05-12 21:56:12,APU IGV ACTUATOR DRAIN TUBE TORN.,REPLACED APU IGV ACTUATOR DRAIN TUBE PER AMM TASK 49-51-52-400-801-A
HL7524,330,2024-05-08 0:00:00,2024-05-07 22:00:00,APU BLEED VALVE(59KH7) MSG ON ACARS DURING ENG START(2TIMES),"MAINT MSG NO 495151, ACCORDING TO TSM 49-62-00-810-841-A, REPLACED APU BLEED V/V AND APU BLEED OP' CH'K NML PER AMM 49-51-51-400-801-A"
HL7524,330,2024-05-08 0:00:00,2024-05-08 3:18:37,WIRING CHECK DUE FOR &ldquo;APU BLEED VALVE(59KH7)&rdquo; MSG," MAINT MSG:495151, IAW TSM 49-62-00-810-841-A WIRING CONTINUTY &amp; INSULATION CHKED NML FROM ECB TO APU BLEED V/V(59KH7) PER AWM 49-15-01"
HL7702,330,2024-05-03 0:00:00,2024-05-03 5:04:24,APU SURGE CONTROL VALVE SLEEVE TORN,REPLACED APU SURGE CONTROL VALVE OUTLET DUCT SLEEVE PER AMM TASK 49-51-52-400-801-A
HL7709,330,2024-05-01 0:00:00,2024-05-02 4:29:26,APU BLEED V/V ABNML,"NO MAINT MSG, APU BLEED V/V SYMBOL SHOWS AMBER CLOSE ON SD PAGE. IAW TSM TASK 36-12-00-810-808-A , REPLACED APU BLEED V/V  &amp; TEST NML PER AMM TASK 49-51-51-400-801-A"
HL7540,330,2024-05-01 0:00:00,2024-05-01 0:46:34,SURGE V/V DOWN STREAM SLEEVE DUCT PUNCTURE,REPLACED APU AIR SURGE V/V DUCT SLEEVE AND LEAK CH'K NML PER AMM 49-51-52-400-801-A
HL7701,330,2024-04-30 0:00:00,2024-05-01 6:38:21,APU AUTO S/D SOMETIMES,"MAINT MSG 494138. ACCORDING TO TSM TASK 49-41-00-810-813-A , REPLACED APU IGNITION EXCITER AND PLUGS &amp; LEADS, AND THEN APU BITE TEST AND OP' CH'KED NML PER AMM TASK 49-41-38-400-801-A/49-41-41-400-801-A/49-41-43-400-801-A"
HL7701,330,2024-04-25 0:00:00,2024-08-07 8:05:53,"WHEN STARTING APU, ECAM APU FAULT AUTO SHUTDOWN MESSAGE CAME OUT","NO MAINT MSG SO ACCORDING TO TSM 49-62-00-810-918-A, APU FUEL LINE BLEEDING AND APU O'P CH'K NML PER AMM 28-22-00-870-801-A"
HL8227,330,2024-04-25 0:00:00,2024-04-25 3:18:37,Scavenge Oil Filter Housing DAMAGE,REPLACE NEW APU GENERATOR SCAVENGE OIL FILTER HOUSING AND LEAK CHECK NORMAL PER AMM TASK 49-91-41-400-802-A (PME NO:MI00010664)
HL7701,330,2024-04-25 0:00:00,2024-04-26 7:15:00,APU SERVO FUEL HOSE CHAFFING," NO MAINT MSG, REPLACED HOSE AND LEAK CHECK NML PER AMM TASK NO 49-32-51-400-801-A,49-23-51-400-801-A,49-51-52-000-801-A (PME NO MI00016533,MI00015543)"
HL8211,330,2024-04-24 0:00:00,2024-04-26 23:58:43,APU EXHAUST MUFFLER DRAIN HOSE TORN.,REPLACED APU EXHAUST MUFFLER DRAIN HOSE PER AMM TASK 49-81-45-400-801-A.
HL7701,330,2024-04-21 0:00:00,2024-04-24 6:09:09,"[39 SAVE] AFTER RAMP IN , APU SUDDENLY SHUT DOWN","MAINT MSG OVERTEMP'- IGV ACTR(59KE21)/ECB(59KD) ACCORDING TO TSM TASK  49-62-00-810-818-A, PERFORMED PUSH/PULL TEST AND THEN NML PER AMM 49-23-51-710-801-A. REPLACED IGV ACT AND THEN LEAK CHECK NML PER AMM TASK 49-23-51-400-801-A"
HL7587,330,2024-04-18 0:00:00,2024-04-19 5:19:59,APU SURGE CTRL V/V SLEEVE ABNORMAL,REPLACED DUCT SLEEVE AND AIR LEAK CHECK NML PER AMM TASK 49-51-52-400-801-A.
HL7554,330,2024-04-12 0:00:00,2024-04-12 4:38:34,APU BLEED VALVE (59KH7) ON ACARS,"MAINT MSG NO 495151, ACCORDING TO TSM 49-62-00-810-841-A, REPLACED APU BLEED V/V AND APU  BLEED O'P CH'K NML PER AMM 49-51-51-400-801-A"
HL7701,330,2024-04-10 0:00:00,2024-04-10 20:59:48,"AFTER GATE IN, ECAM AIR APU BLEED FAULT POPPED UP THEN DISAPPEARED","MAINT MSG 495151&lt;CONFIRMED&gt; IAW TSM 49-00-00-810-808-A APU BLEED SYS WIRING CHK RESULT APU BLEED V/V SOL' PLUG (P12) &quot;B&quot; CONTACT WIRE CUT-OUT CONFIRMED SO, REPLACED APU BLEED V/V SOL' PLUG (P12) THEN APU BLEED V/V SYS OP TEST NML PER AMM 49-51-51-710-803-A ,WDM 49-15-01"
HL8227,330,2024-04-07 0:00:00,2024-04-08 6:12:47,APU SD PAGE IS NOT AUTOMATICALLY DISPLAYED DURING APU START,"NO MAINT MSG, NOT CONFIRMED, I/A/W TSM 49-00-00-810-877-A WIRING CHK NML FROM APU MASTER(14KD) TO SDAC AND APU SYSTEM CHK NML PER AMM 49-00-00-860-801, AWM 49-61-01"
HL8025,330,2024-04-06 0:00:00,2024-04-07 1:42:48,APU BLEED FAULT RELATED SYSTEM WIRING CHECK DUE,"MAINT MSG: 492351(FAULT CODE NUMBER:052, IGV SHOWS CLOSED WITH COMMAND OPEN). NOT CONFIRMED. IAW TSM TASK 49-00-00-810-810-A. SYSTEM WIRING CHECKED NML BETWEEN ECB(59KD) AND IGV ACTR (59KE21) PER WDM 49-15-01."
HL7554,330,2024-04-04 0:00:00,2024-04-04 15:16:42,APU BLEED VALVE MSG MEMORIZED ON PFR (-1LEG),"MAINT MSG: 495151, NOT CONFIRMED. I/A/W TSM 49-62-00-810-841-A, WIRING CHK NML FROM APU ECB TO APU BLEED VALVE AND THEN APU OP CHK NML PER AMM TASK 49-00-00-710-801"
HL7551,330,2024-03-26 0:00:00,2024-03-25 22:00:00,APU RUN DUE,PERFORMED APU RUN PER AMM TASK49-00-00-860-801-A01
HL8228,330,2024-03-24 0:00:00,2024-03-24 18:14:28,APU AUTO SHUTDOWN DURING START UP BEFORE DEPARTURE TWO TIMES. AFTER C/B RESET NORMAL OPERATION,"MAINT MSG NO 282200. ACCORDING TO TSM 49-62-00-810-836-A. PERFORMED BLEEDING OF THE APU FUEL LINE AND THEN APU OPER TEST NML PER AMM 49-00-00-710-801-A, 28-22-00-870-801-A"
HL8001,330,2024-03-21 0:00:00,2024-03-22 4:30:00,AUXILIARY POWER UNIT OIL TEMPERATURE TOO HIGH,"NO MAINT MSG, TSM TASK 49-62-00-810-815-A, APU COOLING FAN INLET &amp; OULET DUCT / OIL COOLER INLET DUCT  / LUB &amp; GEN SCAVENGE OIL FILTER  INSP NML  AFTER THAT REPLACED WITH OIL COOLER AND THEN APU OPER &amp; LEAK CHK  NML PER AMM TASK 49-91-44-400-801-A ( PME NO :   MG00024817, MG00024998)"
HL8025,330,2024-03-10 0:00:00,2024-03-10 13:09:48,APU S/TIMES NOT START WITH BATTERY POWER,"NO MAINT MSG, NOT CONFIRMED. REPLACED APU TR CONTACTOR(7PU) FOR PREVENTIVE MAINT &amp; APU OP' TEST NML PER AMM TASK 24-32-55-400-803-A, 49-00-00-710-801-A."
HL8211,330,2024-03-09 0:00:00,2024-03-09 13:22:26,MAINTENANCE APU DISPLAYED ON 'STS' AFTER ENG SHUTDOWN,APU OPERATION TEST NML PER AMM 49-00-00-710-801-A
HL7710,330,2024-03-08 0:00:00,2024-03-12 0:11:06,APU FAULT ECAM MSG ON AFTER LANDING AND DURING START APU,"MAINT MSG 494138.ACCORDING TO TSM TASK 49-41-00-810-812-A ,FOUND IGN PLUG &amp; LEAD LINE ABNML,SO REPLACED APU IGN PLUG &amp; LEAD LINE &amp; EXCITER -IGN AND THEN APU OP' TEST &amp; BITE TEST NML PER AMM TASK 49-31-38-400-801-A &amp; 49-41-41-400-801-A &amp; 49-41-43-400-801-A"
HL8025,330,2024-03-02 0:00:00,2024-03-02 13:55:27,[SER] 330/HL8025 APU BLEED FAULT after ENG SHUTDOWN T/S,REPLACED APU ECB AND THEN GRD SYS TEST NML PER AMM 49-61-34-400-801-A
HL8001,330,2024-03-02 0:00:00,2024-03-03 4:05:40,APU BLEED VALVE (59KH7) MEMORIZED ON PFR,"MAINT MSG NO : 495151. ACCORDING TO TSM TASK 49-62-00-810-841-A, REPLACED APU BLEED VLV AND OPERATION &amp; LEAK CHECKED NORMAL PER AMM TASK 49-51-51-400-801-A (PME CONTROL NO : MG00024997) &lt;SAVE APPLICATION&gt;"
HL8025,330,2024-03-02 0:00:00,2024-04-07 0:59:48,[SER] HL8025 APU BLEED FAULT T/S DUE,MAINT MSG NO:492351.ACCORDING TO TSM TASK 49-00-00-810-810-A.PERFORMED WIRING CHK FROM ECB TO IGV ACT' BUT MSG REMAINED SO REPLACED IGV ACTUATOR AND RHEN BITE TEST AND APU OPERATION LEAK CHK'D NML PER AMM TASK 49-23-51-400-801-A.(PME:MI00011692)
HL7524,330,2024-03-01 0:00:00,2024-03-01 18:23:07,AFTER ENG START ECAM APU FAULT MSG DISPLAYED. CONTINUE TO OPERATE OF CREW DEFER PROCEDURE ACCORDING TO MEL 49-10-01A,"MAINT MSG :493251,ACCORDING TO TSM 49-62-00-810-817-A ,APU FUEL SUPPLY SYSTEM TEST AND APU OPERATION TEST NML PER AMM TASK 49-00-00-710-801-A"
HL8025,330,2024-02-28 0:00:00,2024-02-28 2:17:36,WIRING CHECK DUE CONCERNING &quot; AFT ENG SHUT DOWN APU BLEED FAULT.&quot;,"MAINT MSG 492351. NOT CONFIRMED. IAW TSM 49-00-00-810-810-A WIRING SYS' (CONTINUITY &amp; INSULATION ) CHECKED NORMAL FROM ECB(59KD) TO IGVA PLUG ( P21) ( INCLUID 5129VC PLUG)  AND WIRING SYS CHK NML FROM INLET PRESSURE TXDCR (P22), BLEED SNSR (P23), DELTA PRE TXCDR (P24) TO ECB PER AWM 49-15-01."
HL7701,330,2024-02-27 0:00:00,2024-02-27 14:43:54,APU EXHAUST MUFFLER DRAIN HOSE TORN,REPLACED APU EXHAUST MUFFLER DRAIN HOSE PER AMM TASK 49-81-45-400-801-A.
HL7701,330,2024-02-27 0:00:00,2024-02-27 16:39:00,APU BLEED SURGE CONTROL V/V DUCT SLEEVE TORN,"1. REMOVED APU BLEED DUCT PER AMM TASK 49-51-52-000-801-A/27-FEB-24/TEC : 1203101 2. INSTALLED DUCT SLEEVE AND THEN OP' TEST AND LEAK CHECKED NORMAL PER AMM TASK 49-51-52-000-801-A / PME NO : MI00010664, MI00022634"
HL7551,330,2024-02-26 0:00:00,2024-02-26 16:14:54,APU DEPRESERVATION DUE,"ACCOMPLISHED APU DEPRESERVATION AND THEN APU OPERATION AND FUEL,OIL &amp; AIR LEAK CHK NML PER AMM TASK 49-00-00-550-803-A (PME NO: MI00016533)"
HL8025,330,2024-02-26 0:00:00,2024-02-28 3:02:49,[SER] 330/HL8025 APU BLEED FAULT T/S,"MAINT MSG 492351, ACCORDING TO TSM TASK 49-62-00-810-846-A, REPLACED APU IGV ACTUATOR AND THEN OPER &amp; LEAK TEST NML PER AMM TASK 49-23-51-400-801-A (SAVE APPLICATION) (PME CONT NO. MI00023186, MI00020176)"
HL8025,330,2024-02-24 0:00:00,2024-02-24 1:52:01,SYSTEM WIRING CHECK DUE CONCERNING APU BLEED FAULT AFTER ENG' SHUTDOWN,"MAINT MSG:495116. NOT CONFIRMED. IAW TSM 49-00-810-807-A, SYSTEM WIRING CHECK NML FROM ECB TO BLEED FLOW SNSR ASSY(59KH23) (PME NO:MI00018198)"
HL8211,330,2024-02-19 0:00:00,2024-02-19 22:22:46,INTERCHANGE APU ECB WITH HL8025 FOR HL8025 APU PARAMETER 'XX' DURING APU START PROCEDURE WITH BATTERY T/S,INTERCHANGED APU ECB WITH HL8025 AND APU BITE TEST NML PER AMM 49-61-34-400-801-A
HL8025,330,2024-02-19 0:00:00,2024-02-19 22:53:42,APU PARAMETER 'XX' DURING APU START PROCEDURE WITH BATTERY,"NO MAINT MSG, NOT CONFIRMED, INTERCHANGED APU ECB WITH HL8211 AND APU BITE TEST NML PER AMM 49-61-34-400-801-A"
HL8212,330,2024-02-13 0:00:00,2024-02-12 14:37:28,APU FAULT AUTO SHOUTDOWN DURING TAXI IN,APU OPERATIONAL TEST PERFORMED WITH WATIS I/A/W AMM 49-00-00-710-801-A REV.02
HL8276,330,2024-02-07 0:00:00,2024-02-08 2:56:21,APU FUEL DRAIN LINE HOSE CLAMP LOOSE,REINSTALLED&nbsp;APU&nbsp;FUEL DRAIN&nbsp;LINE HOSE CLAMP AND THEN CHK NML PER AMM TASK 49-81-45-400-801-A
HL7710,330,2024-02-04 0:00:00,2024-02-04 2:30:35,APU BLEED SURGE CONTROL V/V DUCT SLEEVE TORN,REPLACED DUCT SLEEVE AND AIR LEAK CHECK NML PER AMM TASK 49-51-52-400-801-A.
HL7524,330,2024-02-02 0:00:00,2024-02-02 4:15:28,APU NOT START ON GRD,"MSG NO.494138 ACCORDING TO TSM TASK 49-41-00-810-814-A,REPLACED  IGNITION PLUG AND FUEL FEED LINE BLEEDING AND OP' CHKED NML PER AMM TASK 49-41-41-400-801-A , 28-22-00-870-801-A"
HL8227,330,2024-02-01 0:00:00,2024-02-01 1:41:34,APU BLEED SURGE CONTROL V/V DUCT SLEEVE TORN,REPLACED DUCT SLEEVE AND AIR LEAK CHECK NML PER AMM TASK 49-51-52-400-801-A.
HL7540,330,2024-01-29 0:00:00,2024-01-29 7:28:25,APU LUB OIL FILTER IND' POP OUT,REPLACED WITH LUB OIL FILTER AND THEN APU OP/CHKED NML PER AMM TASK 49-91-41-960-801-A
HL7540,330,2024-01-29 0:00:00,2024-01-29 7:09:43,APU FUEL INLET FILTER IND' POP OUT,REPLACED WITH  FUEL INLET FILTER AND APU OP/CHECKED NORMAL PER AMM TASK 49-32-41-960-801-A
HL7702,330,2024-01-28 0:00:00,2024-01-28 0:52:35,WIRING CHK DUE FOR &quot;APU OIL QTY SW (59KT8)&quot; MSG MEMORY ON ACAR,"MAINT MSG:499316, I/A/W TSM 49-00-00-810-814-A FROM APU ECB TO LOW OIL QTY SW (59KT8) RESISTANCE CHK'D ABNML (NML:MORE THAN 100 KOhme, CHK'D : 2~6 Ohme)  PER AWM 49-15-01  &lt;PME NO:MI00018198&gt;"
HL7702,330,2024-01-27 0:00:00,2024-01-28 5:37:55,"APU MECHANICAL FAILURE SUSPECTED(REFER TO LOG PAGE 034476, ITEM:1)","ACCORDING TO WO C37472494, DEFECT CLEARED, AND APU OP' CHECKED NORMAL PER AMM TASK 49-00-00-860-801-A"
HL7702,330,2024-01-27 0:00:00,2024-01-28 5:42:33,APU OIL QTY SW (59KT8) MSG DISPLAYED ON ACARS,"MAINT MSG NO 499316, ACCORDING TO TSM TASK 49-00-00-810-814-A, REPLACED LOW OIL QUANTITY SWITCH LEAK CHECKED NORMAL PER AMM TASK 49-93-16-400-801-A(PME / MI00011690)"
HL8276,330,2024-01-21 0:00:00,2024-01-21 14:05:30,SURGE V/V DOWN STREAM SLEEVE DUCT PUNCTURE,REPLACED APU AIR SURGE V/V DUCT SLEEVE AND LEAK CH'K NML PER AMM 49-51-52-400-801-A
HL8211,330,2024-01-17 0:00:00,2024-01-17 0:13:05,&ldquo;LOW OIL TEMP SNSR(59KT9)&rdquo;MSG SOMETIMES MEMORIZED ON PFR,"MAINT&rsquo; MSG: 499112(NOT CONFIRMED). ACCORDING TO TSM TASK49-00-00-810-801-A, APU BITE TEST NORMAL. APU LOW OIL TEMP SNSR WIRING CHECKED NORMAL BETWEEN APU ECB AND APU LOW OIL TEMP SNSR(59KT9) PER AWM49-61-03 &amp; 49-15-01. REPLACED APU ECB FOR PREVENTIVE MAINT&rsquo; AND THEN SYSTEM CHECKED NORMAL PER AMM TASK49-61-34-400-801-A &amp; 49-00-00-740-801-A/-710-801-A&lt;PME CONT&rsquo; No.: MI00019167&gt;"
HL7586,330,2024-01-16 0:00:00,2024-01-26 13:45:48,&quot;(N/R-00081) APU GUIDE SEALING RING WITH CRACK.  &quot;,&quot;PERFORMED REPLACEMENT OF APU GUIDE SEALING RING AS PER KAL A330 AMM TASK 49-81-45-400-801-A. REV. NO.102 DATED: 01 JAN 2024  PME USED: TORQUE WRENCH PN: CTECH2MR240 SN: PMEID14062 DD: 31 OCT 2024  TORQUE APPLIED: 75 IN.LBF.&quot;
HL7586,330,2024-01-16 0:00:00,2024-01-26 13:37:03,&quot;(N/R-00077) APU MOUNT BRACKET ROD WITH 1EA WORN OUT WHITE RUBBER CLIP.  &quot;,PERFORMED REPLACEMENT OF APU MOUNT BRACKET ROD RUBBER CLIP AS PER KAL A330 AMM TASK 49-12-42-04CONF 00 WITH REV. NO. 102 DATED: 01 JAN 2024    PN: QD1R50A  SN: PMEID 11420  DD: 13 SEP 2024    -TORQUE APPLIED  37 LBF.IN
HL7586,330,2024-01-16 0:00:00,2024-01-26 19:56:50,&quot;(N/R-00078) APU INTAKE DUCT WITH FRAYED BONDING WIRE LOCATED FWD LH SIDE.  &quot;,"&quot;-PERFORMED REPLACEMENT OF FRAYED BONDING WIRE ON APU FWD LH INTAKE DUCT IN ACCORDANCE WITH KAL A330 AMM TASK 49-16-46-400-801-A WITH REV. NO.  102 DATED: 01 JAN 2024.   ,-PERFORMED BONDING CHECK AS PER KAL A330 AMM TASK 20-28-00-720-805 WITH REV. 102 DATED: 01 JAN 2024. ,PME USED: MILLIOHMMETER                                         MAX. PERMITTED RESISTANCE VALUE:                                PN: AX6000                                                                       - 10 MILLIOHMS  SN: PMEID13724                                                                ACTUAL VALUE:  DD: 22 SEP 2024                                                                - 4 MILLIOHMS&quot;"
HL7586,330,2024-01-16 0:00:00,2024-02-01 9:38:22,&quot;(N/R-00080) APU BLEED DUCT NEAR FRAME 95 WALL WITH WORN OUT BONDING WIRE.  &quot;,&quot;PERFORMED REPLACEMENT OF APU BLEED DUCT BONDING WIRE AS PER KAL A330 AMM TASK 49-51-42-400-802-A. REV NO. 102 DATED 01 JAN 2024.  PERFORMED BONDING CHECK ON APU BLEED DUCT BONDING WIRE AS PER KAL A330 AMM TASK 20-28-00-869-801-A. REV NO. 102 DTD 01 JAN 24.  PME USED: PN: AX6000 SN: PMEID13152 DD: 06 JUN 24  ACTUAL VALUE 1.5 MILLIOHMS MAX PERMITTED VALUE: 100 MILLIOHMS&quot;
HL7586,330,2024-01-16 0:00:00,2024-02-02 15:32:22,(N/R-00167) APU FUEL DRAIN HOSE BLACK COLOR WITH CRACKED,&quot;REPLACED DRAIN TUBE ON APU SURGE CONTROL VALVE AS PER KAL A330 AMM SUBTASK 49-51-52-420-050-A PAR. A.5(M-N).  REV. 102 DTD: 01 JAN 24  REPLACED DRAIN TUBE ON APU INLET GIUDE VANE ACTUATOR AS PER KAL A330 AMM SUBTASK 49-23-51-420-050-A PAR. B.12(D-E).  REV. 102 DTD: 01 JAN 24&quot;
HL7586,330,2024-01-16 0:00:00,2024-02-02 15:20:49,&quot;(N/R-00079) APU SURGE DUCT WITH 2EA WORN OUT BLACK HOSE.  &quot;,PERFORMED REPLACEMENT OF 2EA WORN OUT BLACK HOSE AS PER KAL A330 AMM TASK 49-23-51-400-801-A REV NO.102 DATED 01 JAN 24.
HL7701,330,2024-01-11 0:00:00,2024-01-11 1:00:00,T/S DUE FOR AIR APU BLEED FAULT ECAM MESSAGE ON AFTER ENGINE SHUT DOWN,"MAINT MSG NO 495151, ACCORDING TO TSM 49-00-00-810-808-A, REPLACED APU BLEED V/V BUT SAME WARNING OCCURRED, SO RECHANGED APU BLEED V/V(&#50896;&#49345;), SNSE LINE,FILTER INSP NML PER AMM 49-51-51-400-801-A"
HL7701,330,2024-01-11 0:00:00,2024-01-11 4:46:01,[NON-FDE] DEOIL SOLENOID (59KT15) MSG MEMORIZED ON PFR(-1 LEG),MAINT MSG:499151 NOT CONFIRMED I/A/W TSM TASK 49-00-00-810-802-A APU BITE TEST NML WIRING CHK'D NML FROM ECB(59KD) TO DEOIL SOLENOID(59KT15) PER AWM 49-15-01 (PME NO:MI00015277)
HL7524,330,2024-01-01 0:00:00,2024-01-01 1:00:02,APU EXHAUST MUFFLER BELLOWS SPLIT,"NO MAINT MSG, INSPECTED APU EXHAUST MUFFLER BELLOWS AND RESULT IS WITHIN LIMIT(LIMIT:24.41in ACTUAL:5in) PER AMM TASK 49-81-45-210-802-A"
HL8027,330,2024-01-01 0:00:00,2024-02-28 10:43:37,DURING TAXI ECAM APU-FAULT AUTO SHUT DOWN DISPLAYED(AFTER LANDING),"MAINT MSG:282000, IAW TSM 49-62-00-810-838-A. APU FUEL LINE BLEEDING AND APU OP' TEST NML PER AMM 49-00-00-710-801-A, 28-22-00-870-801-A"
HL7702,330,2024-01-01 0:00:00,2024-01-01 13:09:16,WIRING CHK DUE CONCERNING APU &quot;OIL QTY SW (59KT8)&quot; MSG,"MAINT MSG 499316,IAW TSM 49-00-00-810-814-A, WIRING RESISTANCE AND INSUL CHK NML FROM ECB TO OIL QTY SW(59KT8)"
HL7702,330,2024-01-01 0:00:00,2024-01-01 13:01:59,OIL QTY SW (59KT8) MSG MEMORIZED.,"MAINT MSG NO 49-93-16.ACCORDING TO TSM TASK 49-00-00-810-814-A,49-00-00-810-876-A.AVI WIRING CHK'D NML SO PERFORMED APU OIL SVC THEN ELEC PLUG CLEANING AND APU BITE TEST OK AND OPERATION LEAK CHK NML AND NO FOUND MSG,PER AMM TASK 49-00-00-860-801-A."
HL8001,330,2023-12-28 0:00:00,2023-12-28 7:11:29,IGNITION LEAD SEAL DAMAGED.,REPLACED IGNITION LEAD THEN NO FAULT DETECTED ON APU GROUND REPORT PER AMM TASK 49-41-43-400-801-A . (PME CONTROL : MG00024821)
HL8003,330,2023-12-27 0:00:00,2023-12-27 21:51:12,WIRING CHECK DUE FOR &quot;APU NOT START&quot;,"MAINT MSG : 494141, NOT CONFIRMED. REF TO TSM 49-41-00-810-814-A, SYS WIRING CHK NML FROM ECB(59KD) TO IGN EXCITER(59KA10) THEN APU SYS BITE TEST NML PER AMM  49-61-34-400-801-A, AWM 49-15-01, 49-61-03."
HL8003,330,2023-12-26 0:00:00,2023-12-28 1:45:51,APU NOT START,"MAINT MSG : 494141, IAW TSM 49-41-00-810-814-A, REPLACED IGN PLUG, IGN LEAD LINE A&amp;B, IGN EXCITER AND THEN APU OP' CHK &amp; APU BITE TEST OK PER AMM TASK 49-41-41-400-801-A, 49-41-43-400-801-A, 49-41-38-400-801-A"
HL7540,330,2023-12-17 0:00:00,2023-12-19 16:13:38,APU FAULT DURING RAMP IN SEC   ATTEMT FAILED,"MAINT MSG NO 494138, ACCORDING TO TSM 49-62-00-810-918-A, REPLACED IGN' EXCITER , IGN' LEAD AND APU BITE TEST NML PERM AMM 49-41-38-400-801-A, 49-41-43-400-801-A"
HL7585,330,2023-12-14 0:00:00,2023-12-15 1:52:55,APU FAULT AUTO SHUTDOWN DURING TAXI TO THE GATE,"MAINT MSG NO 494138, ACCORDING TO TSM 49-00-00-810-881-A, REPLACED IGN EXCITER &amp; LEAD LINE AND THEN APU OP' TEST NML PER AMM TASK49-41-38-400-801-A,49-41-43-400-801-A"
HL7540,330,2023-12-14 0:00:00,2023-12-14 16:48:08,AFTER LANDING APU FAULT AUTO SHUT DOWN ECAM MESSAGE DISPLAYED,MAINT MSG 493151. ACCORDING TO TSM TASK 49-41-00-810-812-A. APU RESTART AND OP' CHK'D NML PER AMM TASK 49-00-00-710-801-A
HL7585,330,2023-12-12 0:00:00,2023-12-13 7:10:39,APU FAULT,MAINT MSG 494138. ACCORDING TO TSM TASK 49-41-00-810-812-A. APU RESTART AND OP' CHK'D NML PER AMM TASK 49-00-00-710-801-A
HL7701,330,2023-12-12 0:00:00,2023-12-12 5:29:35,&quot;APU BLEED VALVE (59KH7)&quot; MSG MEMORY ON PFR,"MAINT MSG: 495151 &amp; CONFIRMED, I/A/W TSM 49-62-00-810-841-A FROM ECB (59KD) TO BLEED V/V (59KH7) RESISTANCE CHK NML AND BLEED V/V PLUG CONDITION VISUAL INSPECTION NML PER AWM 49-15-01"
HL7585,330,2023-12-10 0:00:00,2023-12-11 23:21:50,APU  FAULT ECAM MSG APPEARED DURING RAMP IN AFTER 1ST AND &amp; 2ND ATTEMPT,"MAINT MSG NO 494138, ACCORDING TO TSM 49-41-00-810-813-A, REPLACED IGN PLUG AND APU O'P TEST NML PER AMM 49-41-41-400-801-A"
HL7585,330,2023-12-08 0:00:00,2023-12-08 11:10:10,"AFTER L/D 1ST APU START FAULT IND, APU START SUCCESSFUL","NO MAINT MSG, GRD APU RE-START CHK NML PER AMM TASK 49-00-00-710-801-A"
HL8227,330,2023-12-04 0:00:00,2023-12-05 7:38:58,APU INTAKE FLAP NOT OPEN RELATED SYS' WIRING CHK DUE.,"NO MAINT MSG, NOT CONFIRMED. ACCORDING TO TSM TASK 49-62-00-810-806-A. FLAP OPEN SIG' 28VDC ELECT' PWR CHK &amp; GRD PIN A, H &amp; L CHK NML PER AWM 49-16-01.&lt;PME NO: MI00011105&gt;"
HL8001,330,2023-12-03 0:00:00,2023-12-04 1:19:57,APU SURGE BLEED DUCT SLEEVE TORN,REPLACED WITH SCV BLEED DUCT SLEEVE PER AMM TASK 49-51-52-400-801-A
HL8276,330,2023-12-02 0:00:00,2023-12-03 2:06:43,APU EXHAUST MUFFLER DRAIN LINE HOSE(P/N:N53LAK003) TORN,REPLACED APU EXHAUST MUFFLER DRAIN HOSE PER AMM TASK 49-81-45-000-801-A &amp;49-81-45-400-801-A
HL7701,330,2023-11-30 0:00:00,2023-11-30 15:21:49,AIR APU BLEED FAULT ECAM DISPLAYED AFTER ENG SHUT DOWN,"NO MAINT MSG, GRD OP' CHKED NML PER AMM TASK 49-51-51-710-803-A"
HL8027,330,2023-11-27 0:00:00,2023-11-27 1:26:38,LUBE PMP FTR SW(59KT36)/GEN SCAV FTR SW(59KT37)'MSG S/TIMES  MEMORIZED ON APU PREVIOUS LEG RPT,"MAINT MSG:499113 CONFIRMED I/A/W TSM TASK 49-91-00-810-801-A WIRING CHK NML FROM ECB(59KD) TO BYPASS V/V DELTA P SW LUBE PUMP FILTER(59KT36), BYPASS V/V DELTA P SW GENERATOR SCAVENGE FILTER(59KT37) PER AWM 49-15-01  &amp; 49-61-03(PME NO: MG00023940)"
